"","Clus 1","Clus 2","Clus 3","Clus 4","Clus 5","Clus 6","Clus 7","Clus 8","Clus 9","Clus 10","Clus 11","Clus 12"
"Obj 11",5.41224617622791e-06,0.000111804369941148,3.65953919594742e-06,1.26956835860568e-05,0.000275331839367698,0.000973215481417298,5.49222429588474e-05,0.00720994188914071,0.991291903448172,2.02629362648333e-05,3.25486303343203e-05,8.30169344518091e-06
"Obj 12",5.00633647405156e-06,0.000103738714725807,3.3841036583613e-06,1.17504925290277e-05,0.000255845107105895,0.000907812353499975,5.09243369786323e-05,0.00676909546731381,0.991835834599282,1.87653980609102e-05,3.01616744412471e-05,7.68141593038073e-06
"Obj 13",4.73333343608741e-06,9.83773251299946e-05,3.19879096767852e-06,1.11173942129465e-05,0.000243005178988392,0.000864748508048046,4.82497169753403e-05,0.00648407462659558,0.992188906412269,1.77626615757019e-05,2.85612031224023e-05,7.26484867918085e-06
"Obj 14",4.50588571242095e-06,9.39604394135645e-05,3.0443065265581e-06,1.05892212746627e-05,0.000232291646886532,0.000828024036336036,4.60217641011991e-05,0.0062542120008841,0.992476283533817,1.69234930225961e-05,2.72257484275495e-05,6.91792359795861e-06
"Obj 15",4.25654946339842e-06,8.90151363058509e-05,2.87516799250043e-06,1.00107163829369e-05,0.000220553526564153,0.000789144601863357,4.35768304632193e-05,0.00599347953542895,0.992798779602948,1.60082213275351e-05,2.57629370157502e-05,6.537174244546e-06
"Obj 16",4.30098700526509e-06,9.0171277746137e-05,2.90438252233527e-06,1.0119650263958e-05,0.000223597031664077,0.000801931216141384,4.4120242195462e-05,0.00610569746748678,0.992668288105521,1.61900650514831e-05,2.60727516446826e-05,6.60682275791249e-06
"Obj 17",3.99003286116787e-06,8.3940718401187e-05,2.69377634379285e-06,9.39378179982697e-06,0.000208419729239218,0.000749550503588221,4.10208964641205e-05,0.00575561245310081,0.99309998541303,1.50367299562456e-05,2.4224727794204e-05,6.13123742143781e-06
"Obj 18",3.52148189953655e-06,7.43564870528407e-05,2.37666498424335e-06,8.29702038361656e-06,0.000184926877986642,0.000666880435801296,3.62808556402008e-05,0.00517510562342142,0.993808144513743,1.32841242744258e-05,2.1412904638603e-05,5.41301017382922e-06
"Obj 19",3.30434940260486e-06,6.99772091695774e-05,2.22959602780648e-06,7.79205022684218e-06,0.000174414287918617,0.000630671458274444,3.41122399634165e-05,0.00492060888721082,0.994119206470425,1.24800606249704e-05,2.01222242588378e-05,5.08116649642785e-06
"Obj 20",3.24752453059007e-06,6.89793636668574e-05,2.19079426795667e-06,7.66318619429429e-06,0.000172176509980908,0.000623816020541409,3.35913732121077e-05,0.00489226314616315,0.994158994981263,1.22779102782386e-05,1.98037786691673e-05,4.99541123243133e-06
"Obj 21",3.01551979866509e-06,6.42546548324814e-05,2.03365356237077e-06,7.12051891157136e-06,0.000160620218066319,0.000583613184657911,3.12596081909407e-05,0.00461265833924661,0.994500953119683,1.14126798541984e-05,1.84186801054965e-05,4.63982309086138e-06
"Obj 22",2.83644693160891e-06,6.06261355835516e-05,1.91248975441704e-06,6.70205797877713e-06,0.000151816707113677,0.000553332612389853,2.94704106150427e-05,0.00440117276367041,0.994759664744595,1.07472365561331e-05,1.73525916202997e-05,4.36580319119854e-06
"Obj 23",2.61040454862885e-06,5.5986158289804e-05,1.759601289222e-06,6.17076018701098e-06,0.000140326998822534,0.000513264344851139,2.7188996095633e-05,0.00411846595009247,0.995104308038161,9.90183905428974e-06,1.59979520732696e-05,4.01895653475418e-06
"Obj 24",2.39238378987974e-06,5.14729976606608e-05,1.61213100551278e-06,5.65975015703115e-06,0.000129251316770024,0.000473975447270111,2.496758577912e-05,0.00382765134715951,0.995455564111026,9.08427238732603e-06,1.46841438135897e-05,3.68451318114948e-06
"Obj 25",2.3733198620375e-06,5.12188933496769e-05,1.59899039037481e-06,5.61808273734128e-06,0.000128806770362564,0.000473479800969341,2.48226484906908e-05,0.00385557312592339,0.995429242252443,9.02154855469837e-06,1.45883585961836e-05,3.65620832096009e-06
"Obj 26",2.15232585496334e-06,4.65959954792289e-05,1.44970007527848e-06,5.09844763840117e-06,0.000117364140185374,0.000432872604634933,2.25608218916145e-05,0.00354276579786164,0.995804380110807,8.19138400972042e-06,1.32517364053397e-05,3.3169351567877e-06
"Obj 27",1.98418108192607e-06,4.31009031567674e-05,1.33608486741251e-06,4.70299062026731e-06,0.000108690748194155,0.000402008229650799,2.08468163963123e-05,0.00331526879627898,0.996079207351814,7.55888510749388e-06,1.22362808592605e-05,3.05873197255978e-06
"Obj 28",1.81599657880931e-06,3.95730683108153e-05,1.2224882342638e-06,4.30768277468692e-06,9.99900411398379e-05,0.000370926299926466,1.91200955901872e-05,0.00308588118892257,0.996356220808156,6.92561846089237e-06,1.12163721785042e-05,2.80033972699484e-06
"Obj 29",1.72975847893783e-06,3.7811800726879e-05,1.16416651882891e-06,4.10571033853087e-06,9.57010659203915e-05,0.000356217585236262,1.82562177554423e-05,0.00298603638407989,0.996479002830333,6.60439805176147e-06,1.07019217020624e-05,2.66816085783833e-06
"Obj 30",1.63495922074906e-06,3.58538590696238e-05,1.1000735210692e-06,3.88286406587933e-06,9.08270848825542e-05,0.000338759495481379,1.72885399474696e-05,0.00285583503769095,0.996635916880982,6.24888955730935e-06,1.01295297116848e-05,2.52278586920394e-06
"Obj 31",1.47619750589557e-06,3.24744629489719e-05,9.92971964340716e-07,3.50885167845927e-06,8.24606311919183e-05,0.000308613978023259,1.56452945180718e-05,0.00262219864368456,0.996915540927804,5.64854670796982e-06,9.16097987355489e-06,2.27851409943295e-06
"Obj 32",1.36677152510306e-06,3.01733686427447e-05,9.19122854753262e-07,3.25036677469323e-06,7.66878215599276e-05,0.000287789962835236,1.45204210738951e-05,0.0024688843958131,0.997100566628896,5.23481788723359e-06,8.49609404365491e-06,2.11022809370284e-06
"Obj 33",1.25423659735782e-06,2.77735521428648e-05,8.4322666709926e-07,2.98492980852607e-06,7.07069715037456e-05,0.000266191892968253,1.33523096638693e-05,0.00229291866852768,0.997309418418223,4.80960184310639e-06,7.80900848513155e-06,1.93718356932044e-06
"Obj 34",1.24225761880253e-06,2.75965783241506e-05,8.34990240951794e-07,2.95841321003752e-06,7.03808398498937e-05,0.000265561813272831,1.3254822720954e-05,0.00231150611418409,0.997292230838311,4.76835914713509e-06,7.74576636282749e-06,1.91920675682409e-06
"Obj 35",1.05833851229201e-06,2.35871060738417e-05,7.11154616063736e-07,2.52212329291422e-06,6.02500517803271e-05,0.000228260413782603,1.13183909698501e-05,0.00199694343095236,0.997663034961949,4.06763897035623e-06,6.61073626178273e-06,1.6356528385706e-06
"Obj 36",1.00266711602053e-06,2.24172169797963e-05,6.73570117265314e-07,2.39094534576586e-06,5.73388622627447e-05,0.000217901637487564,1.07475287900193e-05,0.0019181698861692,0.997757675736019,3.85808643869118e-06,6.2737609194018e-06,1.55010235414542e-06
"Obj 37",1.00801681727109e-06,2.26069820578478e-05,6.77005733419534e-07,2.40537184812626e-06,5.79136629393976e-05,0.000220300647905425,1.08226126686804e-05,0.00195705460138716,0.99771545555332,3.8822480340642e-06,6.31445726620757e-06,1.55884002259419e-06
"Obj 38",8.90252686818332e-07,2.00351721580743e-05,5.97749055468714e-07,2.12587592704349e-06,5.14280402908063e-05,0.000196401261178644,9.58397228179256e-06,0.00176278943242249,0.997945751915413,3.43240800370455e-06,5.58677813553406e-06,1.37714244664297e-06
"Obj 39",7.74539406566198e-07,1.74867292956494e-05,5.19905869374532e-07,1.85061110090344e-06,4.49406593051211e-05,0.000172277990490259,8.35662688383595e-06,0.0015529315487893,0.998191803636248,2.99022153436613e-06,4.86899336595112e-06,1.19853771040957e-06
"Obj 40",7.56456443433668e-07,1.71353846709352e-05,5.07661944373479e-07,1.80881594656899e-06,4.41276652350187e-05,0.000169636487958753,8.18245289827652e-06,0.00154577344782709,0.998203214224839,2.92336925913981e-06,4.76312820280838e-06,1.17090477420743e-06
"Obj 41",6.44228757680943e-07,1.46416353653371e-05,4.32203967720167e-07,1.54151337584148e-06,3.77717420175031e-05,0.000145694095868714,6.98285266128737e-06,0.00133820145419235,0.998446536988784,2.49267256858298e-06,4.06308732473367e-06,9.97525116204723e-07
"Obj 42",7.98463245235392e-07,1.81965524965181e-05,5.35588481189562e-07,1.9117390162444e-06,4.69766093773328e-05,0.000181128999289342,8.66781795054082e-06,0.00166953320592407,0.998062882353039,3.09130813737337e-06,5.04063701801935e-06,1.2367260253504e-06
"Obj 43",5.67101594989247e-07,1.29753744046789e-05,3.802683969784e-07,1.35869073983916e-06,3.35627209391494e-05,0.000130108191696441,6.17372864523052e-06,0.00121538529830417,0.998592823502455,2.19877765340637e-06,3.58768564058036e-06,8.78659529433792e-07
"Obj 44",5.10056261317012e-07,1.17060351619097e-05,3.41939659591058e-07,1.22301809427822e-06,3.03511377203071e-05,0.000118142606525456,5.56724810670559e-06,0.00111097921465819,0.998715175489523,1.98012440348789e-06,3.23257544522239e-06,7.90554440494263e-07
"Obj 45",4.622389443027e-07,1.0645756300996e-05,3.09790455216799e-07,1.10883110793501e-06,2.76223997619451e-05,0.000107892979440364,5.05735093271946e-06,0.00102324053251911,0.998818212337431,1.79638661824276e-06,2.93475912360845e-06,7.16637364456993e-07
"Obj 46",3.93377035762694e-07,9.08905567981715e-06,2.63562542297702e-07,9.44384060288734e-07,2.36261829096291e-05,9.25563448443245e-05,4.31224400289452e-06,0.000882806969678416,0.998981365831733,1.53065449137093e-06,2.50129932845295e-06,6.10093693940823e-07
"Obj 47",3.3572938696722e-07,7.78364633752469e-06,2.24878253740765e-07,8.06628650729658e-07,2.02786676429765e-05,7.97100408326861e-05,3.68933735936445e-06,0.00076919716729288,0.99911400694404,1.30773928738586e-06,2.13836343103424e-06,5.20857484550471e-07
"Obj 48",3.69215882108966e-07,8.58524716001595e-06,2.47258827404627e-07,8.87645490130147e-07,2.24039312029818e-05,8.83736776143635e-05,4.06743666532642e-06,0.000857142651533358,0.999013554205987,1.43994545319328e-06,2.3558076268353e-06,5.72976557041744e-07
"Obj 49",2.9348792792684e-07,6.84799174229705e-06,1.96486532525369e-07,7.06101170767567e-07,1.79018337942617e-05,7.08518317807861e-05,3.2402019977409e-06,0.000692856325931906,0.999203628580253,1.14597540060469e-06,1.87555922292107e-06,4.55624245232174e-07
"Obj 50",2.58713094796772e-07,6.05878758835429e-06,1.73155483146873e-07,6.228801902897e-07,1.58641594556024e-05,6.2922342356988e-05,2.86254062803085e-06,0.00062350551393194,0.999284663264203,1.01107771005108e-06,1.65581492683348e-06,4.01750431455879e-07
"Obj 51",2.67891564667385e-07,6.29363849912804e-06,1.79261284028226e-07,6.45352898169492e-07,1.65011545474292e-05,6.5655396155672e-05,2.97110393002917e-06,0.000654869148661885,0.999249435263512,1.04824163143977e-06,1.71740715606836e-06,4.16140159075412e-07
"Obj 52",2.03127148772341e-07,4.78812138184071e-06,1.3588100979378e-07,4.89655374796144e-07,1.25717543176178e-05,5.0222190832961e-05,2.25786386971376e-06,0.000503088672517606,0.99942382673093,7.95818301973457e-07,1.30453254225097e-06,3.15651773054594e-07
"Obj 53",2.01485484069793e-07,4.7647224529009e-06,1.34751227120342e-07,4.86096645697539e-07,1.25380672035206e-05,5.02090418835203e-05,2.24428689038263e-06,0.000507846984877805,0.99941917524196,7.90263634420182e-07,1.29585233458053e-06,3.13205406461659e-07
"Obj 54",1.5899599004482e-07,3.77320977952589e-06,1.06304489504874e-07,3.83885515001623e-07,9.94835591583278e-06,3.99968252646236e-05,1.7756501009023e-06,0.000408612781092874,0.999533347991012,6.24319101822724e-07,1.02444365809996e-06,2.47238079738398e-07
"Obj 55",1.5508312467622e-07,3.69331943012793e-06,1.03663104780023e-07,3.74667201897986e-07,9.75145027383175e-06,3.92953671268376e-05,1.7359396967547e-06,0.00040619042391925,0.999536848515829,6.09545492247832e-07,1.00079782012864e-06,2.41226980050471e-07
"Obj 56",1.22356165007101e-07,2.92399538579744e-06,8.17623727976438e-08,2.95756085742051e-07,7.72920807684702e-06,3.12876914815013e-05,1.37323265313464e-06,0.000326077192266731,0.999628645794648,4.8148937319145e-07,7.91142162664697e-07,1.90379328958388e-07
"Obj 57",1.12765826688295e-07,2.70415042337599e-06,7.53351567939045e-08,2.72792262288882e-07,7.16226185648819e-06,2.9061118430047e-05,1.2681390719505e-06,0.000305764750655543,0.999652228751334,4.44259170238916e-07,7.30155857606264e-07,1.7551995491419e-07
"Obj 58",9.7055500413883e-08,2.33480410232655e-06,6.48206465616995e-08,2.34922219512952e-07,6.19263137524277e-06,2.52365118507535e-05,1.09411091916768e-06,0.000266814454179934,0.999696767104028,3.82864439772987e-07,6.296079406079e-07,1.51112797552047e-07
"Obj 59",7.81885576602074e-08,1.88744933804507e-06,5.22061736806829e-08,1.89433300243498e-07,5.01896537260718e-06,2.05117042900846e-05,8.83334118795617e-07,0.000219267274020642,0.999751172896506,3.08779592153645e-07,5.07985130993447e-07,1.21783599461261e-07
"Obj 60",6.41184458709513e-08,1.5533510493791e-06,4.27995596680959e-08,1.55446835398053e-07,4.13699700989646e-06,1.69633108825374e-05,7.26169591760747e-07,0.000183365224916689,0.999792221895869,2.53487143695582e-07,4.17299112436983e-07,9.98995834203564e-08
"Obj 61",5.8293091317105e-08,1.41674216729211e-06,3.89011461573656e-08,1.4140040840277e-07,3.77783323678654e-06,1.55521667676194e-05,6.61742589005477e-07,0.000168799198814451,0.99980885204674,2.30762370456522e-07,3.80059097386599e-07,9.08535708506176e-08
"Obj 62",7.02255343902335e-08,1.71280576397509e-06,4.68526941531427e-08,1.704794534597e-07,4.57581902733337e-06,1.8861561297452e-05,7.98856369482381e-07,0.000207512917806608,0.999765404313551,2.78232929123131e-07,4.58450811469022e-07,1.09484761381955e-07
"Obj 63",3.72192636814069e-08,9.11139262992864e-07,2.48241817719166e-08,9.0417005168836e-08,2.4388896717603e-06,1.01046885141054e-05,4.24523613562995e-07,0.0001124496723923,0.999873069460965,1.47657956343511e-07,2.43460453087573e-07,5.80467199181327e-08
"Obj 64",3.58671274789174e-08,8.80911406700399e-07,2.39160681491623e-08,8.71974788046731e-08,2.36279732112393e-06,9.82156452862461e-06,4.10056341567044e-07,0.000110231330446012,0.999875712922676,1.42456895704512e-07,2.35022906140282e-07,5.59568039694903e-08
"Obj 65",3.68150597044185e-08,9.07324990977922e-07,2.45415558299174e-08,8.95460188142536e-08,2.43551411114679e-06,1.01545670118455e-05,4.21904514941154e-07,0.000114790799512658,0.999870693528439,1.46390526564557e-07,2.41615716145597e-07,5.7452542471718e-08
"Obj 66",2.40378054521465e-08,5.94560064769357e-07,1.60196984949389e-08,5.85171973780307e-08,1.59998833839618e-06,6.69918535286086e-06,2.76178206620118e-07,7.66896832830079e-05,0.999913750553912,9.5701940289e-08,1.58048023055043e-07,3.75261779889744e-08
"Obj 67",1.75327669407109e-08,4.35230418763224e-07,1.16809229801171e-08,4.27090082889181e-08,1.17282087749358e-06,4.9275917640397e-06,2.01909230478536e-07,5.69483173043592e-05,0.999936029467628,6.98815636354785e-08,1.15478527206368e-07,2.73799873936575e-08
"Obj 68",2.00879629132049e-08,5.00224833935005e-07,1.3380084655286e-08,4.89649668312622e-08,1.35022741997989e-06,5.69521123951673e-06,2.31919267953903e-07,6.62185463505671e-05,0.999925677348604,8.01680586987506e-08,1.32541054620338e-07,3.13801556992906e-08
"Obj 69",4.76822407975488e-08,1.19049928558908e-06,3.17516368718491e-08,1.16310280341917e-07,3.2204446339888e-06,1.36251205740139e-05,5.5178167239313e-07,0.000159232606773805,0.999821403676208,1.90494919957355e-07,3.15125856235946e-07,7.45059178841276e-08
"Obj 70",9.22777318329541e-09,2.31420693728038e-07,6.14298006917754e-09,2.25300326563014e-08,6.27417709708853e-07,2.66382029027061e-06,1.07022639326569e-07,3.1653242776233e-05,0.999964566754358,3.69110811503701e-08,6.10840468853832e-08,1.4425618964803e-08
"Obj 71",1.01169728035195e-08,2.54596382879397e-07,6.73307422386034e-09,2.47136015696941e-08,6.90935219235019e-07,2.94553462685822e-06,1.17636137507425e-07,3.52428621747791e-05,0.999960583434601,4.0518378532153e-08,6.70986000006268e-08,1.58202303870797e-08
"Obj 72",3.47188887409693e-08,8.76041050854212e-07,2.30998478119734e-08,8.48641521384854e-08,2.38210394481496e-06,1.01832047581653e-05,4.04575911630773e-07,0.000122625445766172,0.999862961819507,1.39197481503435e-07,2.30625645848245e-07,5.43030452041521e-08
"Obj 73",7.90928875774207e-09,2.00383115025689e-07,5.26077902122904e-09,1.93509272744319e-08,5.46165440378117e-07,2.34530154499607e-06,9.23944288646246e-08,2.8610386703688e-05,0.999968076086339,3.17525887018404e-08,5.2632759643625e-08,1.23760852044308e-08
"Obj 74",5.02566798572353e-09,1.27857157814641e-07,3.34182773642344e-09,1.23042481807543e-08,3.49047701796248e-07,1.5021446608558e-06,5.88475027533353e-08,1.86845285395504e-05,0.999979195346781,2.01937210244751e-08,3.34957074770941e-08,7.86648408590955e-09
"Obj 75",4.5499411759027e-09,1.16113092189682e-07,3.02471774335542e-09,1.11483895751048e-08,3.17719787496441e-07,1.37428630205799e-06,5.3416355788011e-08,1.71556733170436e-05,0.999980908252242,1.83087013470093e-08,3.03825813942569e-08,7.1245721835063e-09
"Obj 76",1.31480025855982e-09,3.36847838367811e-08,8.73807225333861e-10,3.22378460553838e-09,9.23253185222822e-08,4.00736510352411e-07,1.54728720989456e-08,5.07283500943924e-06,0.99999436338207,5.2966328838877e-09,8.79490245167719e-09,2.05950801131571e-09
"Obj 77",5.78898459452881e-09,1.48817976143324e-07,3.84622958447363e-09,1.42025366295204e-08,4.08474164999e-07,1.77783456052189e-06,6.82796456604769e-08,2.2742605355516e-05,0.999974758945746,2.33474784865345e-08,3.87870903751521e-08,9.07023180350474e-09
"Obj 78",3.68473492419153e-09,9.50435321598173e-08,2.44750783805626e-09,9.04746942689495e-09,2.6148556545752e-07,1.14343866507498e-06,4.35717032498598e-08,1.47357722520149e-05,0.999983660118599,1.48804521549137e-08,2.47340243707999e-08,5.77549381751729e-09
"Obj 79",5.70452988304346e-10,1.47713593386749e-08,3.78788054985976e-10,1.40162259249406e-09,4.06943513200244e-08,1.78622442981474e-07,6.76240747503887e-09,2.32747029122401e-06,0.99999742229139,2.3062708796569e-09,3.83617216983833e-09,8.94451182027046e-10
"Obj 80",2.01388773308646e-09,5.23264276381093e-08,1.33693405362939e-09,4.95133661785585e-09,1.44380856722748e-07,6.35663680152546e-07,2.39246781934918e-08,8.35001055360821e-06,0.999990760516373,8.15204228843879e-09,1.35643895812892e-08,3.15884001781387e-09
"Obj 81",0,0,0,0,0,0,0,0,1,0,0,0
"Obj 82",1.35047347757612e-09,3.53426522769863e-08,8.96021474174483e-10,3.32519057248341e-09,9.789530725183e-08,4.34665837290629e-07,1.61288415676633e-08,5.84095260992357e-06,0.999993552714495,5.47956633982121e-09,9.12931215231423e-09,2.11969254988181e-09
"Obj 83",3.28570969879669e-09,8.63145279387533e-08,2.17936646323785e-09,8.09494974434136e-09,2.39426868178271e-07,1.06613953103502e-06,3.93324455640733e-08,1.45257573296354e-05,0.999983988715079,1.33466255314605e-08,2.2248982377577e-08,5.15858479813831e-09
"Obj 84",1.90185250992178e-09,5.01302254325613e-08,1.26113326046167e-09,4.69014302607075e-09,1.3945674588728e-07,6.23678908597928e-07,2.28214019802256e-08,8.58601278328527e-06,0.999990546423781,7.73582608301379e-09,1.29000360820073e-08,2.98716234505181e-09
"Obj 85",6.3124752966695e-09,1.66956394813068e-07,4.1848066635608e-09,1.55777688644334e-08,4.65340859450221e-07,2.08837029488495e-06,7.59263796875534e-08,2.89864783050797e-05,0.999968112334081,2.57086973461014e-08,4.28918491046983e-08,9.91808777841798e-09
"Obj 86",9.19466755481992e-09,2.44170706034661e-07,6.09396658286505e-09,2.27073774425513e-08,6.81549672356751e-07,3.06342820997535e-06,1.10844503046038e-07,4.32259383738933e-05,0.999952521579012,3.74766731542129e-08,6.25653109851169e-08,1.4451526892372e-08
"Obj 87",3.92659323066874e-09,1.04678549795631e-07,2.60155065038294e-09,9.70429541195823e-09,2.92817905293564e-07,1.32352403926976e-06,4.74697582721932e-08,1.89674450527626e-05,0.999979198860446,1.60258829566958e-08,2.67725004919694e-08,6.17342593211611e-09
"Obj 88",3.60433159750215e-09,9.64025129231807e-08,2.38742491426094e-09,8.91488945862473e-09,2.70280042712259e-07,1.22791369894417e-06,4.36858972402862e-08,1.76869193805575e-05,0.999980614868509,1.47319545107473e-08,2.46223205856504e-08,5.66903789750191e-09
"Obj 89",5.75751926995632e-09,1.54546503584526e-07,3.81257849900477e-09,1.42507951960039e-08,4.3412776779595e-07,1.97991407781903e-06,6.99556009249596e-08,2.88348080345648e-05,0.999968430804917,2.35613962379046e-08,3.94020693721067e-08,9.05873987456648e-09
"Obj 90",6.35105556070119e-09,1.71160373928001e-07,4.20450577345082e-09,1.57313589313995e-08,4.81586884241926e-07,2.20244573864023e-06,7.73521666957554e-08,3.2594726722481e-05,0.999964366894267,2.60176502150311e-08,4.35330965434648e-08,9.99618036347962e-09
"Obj 91",9.2343191914483e-09,2.49704265769512e-07,6.11123109771456e-09,2.28902067607229e-08,7.04147296091868e-07,3.23451877138223e-06,1.12745337871639e-07,4.83347737631488e-05,0.999947210042777,3.78777944141285e-08,6.34155022943948e-08,1.45387355434051e-08
"Obj 92",9.56413721117863e-09,2.59653099568124e-07,6.32780325140474e-09,2.37205429798294e-08,7.32949884421403e-07,3.38123834926123e-06,1.17077544248286e-07,5.10129652233021e-05,0.999944336355259,3.92795549702698e-08,6.58050995182269e-08,1.50635026529903e-08
"Obj 93",1.47377981875639e-08,4.01621597939893e-07,9.74806736172128e-09,3.65829592824139e-08,1.13649846151287e-06,5.25828807528344e-06,1.80856456423899e-07,8.09130095838968e-05,0.999911863278062,6.05923067033301e-08,1.01567408883002e-07,2.32192224658261e-08
"Obj 94",2.71005350487866e-08,7.41152822547926e-07,1.79210170845508e-08,6.73213829548341e-08,2.1011033795632e-06,9.75157224535833e-06,3.33371775828406e-07,0.00015153200977679,0.999835087122206,1.11549565703676e-07,1.87062566263311e-07,4.27127265863541e-08
"Obj 95",2.04284893325455e-08,5.60845302754672e-07,1.3504666298724e-08,5.07824382753241e-08,1.59335113230925e-06,7.43827864110501e-06,2.52006629270778e-07,0.000117286015969464,0.99987252707089,8.41988239340148e-08,1.41309489406746e-07,3.22075283104091e-08
"Obj 96",2.72120119307864e-08,7.49595806518999e-07,1.79843302120667e-08,6.77038983377464e-08,2.13479970717834e-06,1.00084319743035e-05,3.36506045006799e-07,0.000158656773376268,0.999827657197554,1.12314740267641e-07,1.88561513814649e-07,4.29190419046493e-08
"Obj 97",2.60239073968298e-08,7.19720063293573e-07,1.71937479769919e-08,6.47933436043374e-08,2.05338666194283e-06,9.66524738064964e-06,3.22594864483829e-07,0.000155496277646377,0.999831305508361,1.07540274003929e-07,1.80653624192321e-07,4.10601251193524e-08
"Obj 98",3.64042663388261e-08,1.01046427838022e-06,2.4044800095611e-08,9.07054115070177e-08,2.8887781704583e-06,1.36466051757152e-05,4.52350528501337e-07,0.000222258618600526,0.999759130799602,1.50622702614951e-07,2.53150736724339e-07,5.74557269826835e-08
"Obj 99",4.558818415224e-08,1.27038204192898e-06,3.01032013945245e-08,1.13674043691902e-07,3.63902145834396e-06,1.72590784598422e-05,5.68049576333098e-07,0.000285775600906543,0.999690720104349,1.88833198382765e-07,3.17587815772351e-07,7.19767644288683e-08
"Obj 100",5.7347571872141e-08,1.60411926357393e-06,3.78575768378859e-08,1.4309280531183e-07,4.60366433596943e-06,2.19234489748305e-05,7.16372600358934e-07,0.000367863958976055,0.999602321483506,2.37844360405068e-07,4.00236071490441e-07,9.057395704472e-08
"Obj 101",6.12109142927511e-08,1.71845351682014e-06,4.03950266187354e-08,1.52827409587781e-07,4.93873725647324e-06,2.36380235358357e-05,7.66635598969296e-07,0.000399432067830609,0.999568472690051,2.54195366921076e-07,4.28053676267494e-07,9.67098169849244e-08
"Obj 102",8.45403291600167e-08,2.3826865885333e-06,5.57769023211038e-08,2.11264797522656e-07,6.86510254895382e-06,3.29414531930107e-05,1.0613922226395e-06,0.000568100022331167,0.999387220604277,3.51445100076721e-07,5.92095636391166e-07,1.33616073630032e-07
"Obj 103",1.01477849929775e-07,2.87054536240193e-06,6.6932246855852e-08,2.53722107086975e-07,8.2808924613014e-06,3.99382885088613e-05,1.27739678499125e-06,0.000694485303535534,0.999251430411059,4.22435732621557e-07,7.12156440949173e-07,1.60437911084699e-07
"Obj 104",1.15263228222267e-07,3.27353287085891e-06,7.60005906028762e-08,2.88461479146415e-07,9.46721222777269e-06,4.57790655174563e-05,1.45417187227487e-06,0.000810989738349084,0.999127083816097,4.80338545657371e-07,8.10103752059142e-07,1.82295470236659e-07
"Obj 105",1.17523670795876e-07,3.35019679430753e-06,7.74689318383015e-08,2.94339794483254e-07,9.71097600237325e-06,4.72246852986664e-05,1.48677164705363e-06,0.000846343228084414,0.999089890749891,4.90469764178193e-07,8.27647390118417e-07,1.85942730663945e-07
